transaction_id,step,payment_type,amount,sender_upi,receiver_upi,fraud_label,fraud_type
1,103,QR_SCAN_PAY,3121.76,UPI_96383307,UPI_49703425,0,NORMAL
2,436,WALLET_PAYMENT,1611.38,UPI_66964088,UPI_48657741,0,NORMAL
3,271,BILL_PAY,35535.84,UPI_19681617,UPI_53717554,0,NORMAL
4,107,QR_SCAN_PAY,41512.47,UPI_62810973,UPI_95139325,0,NORMAL
5,72,WALLET_PAYMENT,31756.85,UPI_96690562,UPI_24479325,0,NORMAL
6,701,WALLET_PAYMENT,45251.8,UPI_22108244,UPI_26761462,0,NORMAL
7,21,QR_SCAN_PAY,34900.31,UPI_25255079,UPI_88523162,0,NORMAL
8,615,WALLET_PAYMENT,18550.88,UPI_67354057,UPI_75754595,0,NORMAL
9,122,UPI_TRANSFER,9067.01,UPI_45832641,UPI_61118957,0,NORMAL
10,467,UPI_TRANSFER,46232.75,UPI_72094395,UPI_62491518,0,NORMAL
11,215,QR_SCAN_PAY,5184.34,UPI_99831404,UPI_72351977,0,NORMAL
12,331,BILL_PAY,27151.71,UPI_16273508,UPI_77326149,0,NORMAL
13,459,UPI_TRANSFER,15703.83,UPI_43886218,UPI_60865578,0,NORMAL
14,88,UPI_TRANSFER,13574.39,UPI_35775735,UPI_22779127,0,NORMAL
15,373,QR_SCAN_PAY,32293.51,UPI_50586649,UPI_68949713,0,NORMAL
16,100,MERCHANT_PAY,11565.69,UPI_86077097,UPI_41769907,0,NORMAL
17,664,WALLET_PAYMENT,45818.67,UPI_63188285,UPI_66426253,0,NORMAL
18,131,UPI_TRANSFER,20305.17,UPI_43069756,UPI_25541946,1,FAKE_MERCHANT
19,662,MERCHANT_PAY,33870.38,UPI_28478028,UPI_19158195,0,NORMAL
20,309,BILL_PAY,36389.15,UPI_87570651,UPI_15093876,0,NORMAL
21,344,MERCHANT_PAY,34148.67,UPI_51696739,UPI_41768932,0,NORMAL
22,492,QR_SCAN_PAY,45170.5,UPI_11753300,UPI_18496423,0,NORMAL
23,414,BILL_PAY,11560.39,UPI_40113481,UPI_29006019,0,NORMAL
24,386,BILL_PAY,4307.3,UPI_37121931,UPI_47403990,0,NORMAL
25,192,MERCHANT_PAY,2778.01,UPI_56329498,UPI_37465847,0,NORMAL
26,277,QR_SCAN_PAY,43892.82,UPI_23789890,UPI_52297529,0,NORMAL
27,161,UPI_TRANSFER,48664.49,UPI_34211995,UPI_52560739,0,NORMAL
28,460,MERCHANT_PAY,15129.81,UPI_27792923,UPI_80123753,1,MICRO_VELOCITY
29,314,UPI_TRANSFER,34677.23,UPI_23155314,UPI_13294218,0,NORMAL
30,22,MERCHANT_PAY,450.59,UPI_71671134,UPI_54821252,1,MICRO_VELOCITY
31,253,UPI_TRANSFER,9435.63,UPI_77828330,UPI_44026114,0,NORMAL
32,561,MERCHANT_PAY,34465.27,UPI_95783686,UPI_36491790,0,NORMAL
33,475,BILL_PAY,3299.03,UPI_67441886,UPI_52375041,0,NORMAL
34,59,WALLET_PAYMENT,23428.16,UPI_74660237,UPI_72765816,0,NORMAL
35,511,BILL_PAY,33130.85,UPI_35264038,UPI_82124103,0,NORMAL
36,682,UPI_TRANSFER,38299.08,UPI_69373429,UPI_43951925,0,NORMAL
37,476,QR_SCAN_PAY,22693.53,UPI_37651430,UPI_41261613,0,NORMAL
38,700,BILL_PAY,31516.05,UPI_60262998,UPI_79036670,0,NORMAL
39,190,WALLET_PAYMENT,26981.08,UPI_37051484,UPI_64199677,0,NORMAL
40,687,UPI_TRANSFER,2620.03,UPI_85986213,UPI_25015208,0,NORMAL
41,563,BILL_PAY,37141.52,UPI_38008377,UPI_85117764,0,NORMAL
42,567,MERCHANT_PAY,8622.23,UPI_51227703,UPI_14816157,0,NORMAL
43,244,QR_SCAN_PAY,1595.12,UPI_19672486,UPI_75121835,0,NORMAL
44,505,UPI_TRANSFER,22561.14,UPI_89831555,UPI_81681746,0,NORMAL
45,131,BILL_PAY,43282.55,UPI_89277446,UPI_24709021,0,NORMAL
46,485,UPI_TRANSFER,7545.72,UPI_22819963,UPI_96646488,0,NORMAL
47,647,MERCHANT_PAY,647.81,UPI_63060731,UPI_34593738,0,NORMAL
48,21,WALLET_PAYMENT,5503.41,UPI_11928563,UPI_67126448,0,NORMAL
49,167,BILL_PAY,18186.14,UPI_28962745,UPI_54145826,1,FAKE_MERCHANT
50,274,UPI_TRANSFER,29010.69,UPI_34464568,UPI_47359808,0,NORMAL
51,388,UPI_TRANSFER,9654.64,UPI_19538082,UPI_95877904,0,NORMAL
52,601,UPI_TRANSFER,40099.19,UPI_23860722,UPI_75032862,0,NORMAL
53,316,WALLET_PAYMENT,37666.09,UPI_20036748,UPI_79835443,0,NORMAL
54,14,UPI_TRANSFER,34794.7,UPI_75821716,UPI_51203310,1,SOCIAL_ENGINEERING
55,242,QR_SCAN_PAY,24376.05,UPI_76574588,UPI_95216525,0,NORMAL
56,346,QR_SCAN_PAY,18264.02,UPI_42834514,UPI_43971726,0,NORMAL
57,565,UPI_TRANSFER,18782.45,UPI_15974273,UPI_75554059,0,NORMAL
58,340,QR_SCAN_PAY,25156.01,UPI_38487467,UPI_87796397,0,NORMAL
59,92,BILL_PAY,3870.35,UPI_84484253,UPI_51239111,0,NORMAL
60,367,QR_SCAN_PAY,34116.86,UPI_64380502,UPI_72227898,0,NORMAL
61,455,UPI_TRANSFER,17578.62,UPI_74821046,UPI_82884726,0,NORMAL
62,428,MERCHANT_PAY,11241.82,UPI_46211148,UPI_43200734,0,NORMAL
63,509,BILL_PAY,13919.96,UPI_62619355,UPI_61377049,0,NORMAL
64,35,WALLET_PAYMENT,9018.81,UPI_20699945,UPI_83761923,0,NORMAL
65,206,UPI_TRANSFER,45078.9,UPI_93171099,UPI_50531889,0,NORMAL
66,81,WALLET_PAYMENT,8456.03,UPI_45612381,UPI_60259419,0,NORMAL
67,562,MERCHANT_PAY,44146.89,UPI_85801960,UPI_65222040,0,NORMAL
68,388,WALLET_PAYMENT,28614.31,UPI_68467676,UPI_15030823,0,NORMAL
69,2,UPI_TRANSFER,43373.21,UPI_54837729,UPI_38224031,0,NORMAL
70,390,UPI_TRANSFER,23705.84,UPI_10843186,UPI_15982154,0,NORMAL
71,566,MERCHANT_PAY,46382.05,UPI_66999317,UPI_51907644,0,NORMAL
72,106,UPI_TRANSFER,10578.48,UPI_61924568,UPI_26984675,0,NORMAL
73,477,MERCHANT_PAY,27736.81,UPI_26316493,UPI_24423284,1,FAKE_MERCHANT
74,703,MERCHANT_PAY,6296.31,UPI_78794825,UPI_67625032,0,NORMAL
75,402,UPI_TRANSFER,22363.78,UPI_28922057,UPI_37696264,0,NORMAL
76,730,QR_SCAN_PAY,28497.34,UPI_93131783,UPI_23104606,0,NORMAL
77,556,MERCHANT_PAY,30285.73,UPI_34412204,UPI_23619986,0,NORMAL
78,162,UPI_TRANSFER,18279.61,UPI_50486949,UPI_31076648,1,ACCOUNT_TAKEOVER
79,202,QR_SCAN_PAY,3821.4,UPI_81242143,UPI_60005075,0,NORMAL
80,270,MERCHANT_PAY,32768.03,UPI_75354813,UPI_10109573,0,NORMAL
81,271,QR_SCAN_PAY,24424.15,UPI_59637868,UPI_36448762,0,NORMAL
82,456,BILL_PAY,6848.26,UPI_14417858,UPI_41165802,1,FAKE_MERCHANT
83,462,BILL_PAY,46794.12,UPI_30589011,UPI_63583703,0,NORMAL
84,727,QR_SCAN_PAY,47783.65,UPI_82627260,UPI_20890222,0,NORMAL
85,252,MERCHANT_PAY,42831.03,UPI_42612108,UPI_74113407,0,NORMAL
86,702,UPI_TRANSFER,42194.2,UPI_43357394,UPI_71643669,0,NORMAL
87,296,WALLET_PAYMENT,4938.07,UPI_63530851,UPI_89010621,1,SOCIAL_ENGINEERING
88,725,UPI_TRANSFER,49671.04,UPI_66220130,UPI_57710377,0,NORMAL
89,720,WALLET_PAYMENT,20022.03,UPI_12220654,UPI_16123255,0,NORMAL
90,338,WALLET_PAYMENT,8160.24,UPI_42038769,UPI_91311953,0,NORMAL
91,53,MERCHANT_PAY,40606.03,UPI_94637254,UPI_70157171,0,NORMAL
92,217,QR_SCAN_PAY,11290.41,UPI_91320883,UPI_52678412,0,NORMAL
93,188,UPI_TRANSFER,26311.14,UPI_29784164,UPI_24787191,0,NORMAL
94,380,QR_SCAN_PAY,6405.16,UPI_13874840,UPI_85146020,0,NORMAL
95,493,BILL_PAY,23734.91,UPI_50183574,UPI_47910707,0,NORMAL
96,41,MERCHANT_PAY,27909.28,UPI_34806601,UPI_43248151,0,NORMAL
97,157,MERCHANT_PAY,22298.97,UPI_78846816,UPI_26038524,0,NORMAL
98,15,BILL_PAY,3478.99,UPI_84497533,UPI_77305426,0,NORMAL
